Symbol,Date,Close
RY,11/6/2018,95.54
RY,11/7/2018,95.93
RY,11/8/2018,96.59
RY,11/9/2018,95.95
RY,11/12/2018,95.33
RY,11/13/2018,95.75
RY,11/14/2018,95.3
RY,11/15/2018,95.65
RY,11/16/2018,95.37
RY,11/19/2018,94.82
RY,11/20/2018,93.62
RY,11/21/2018,95.88
RY,11/22/2018,94.94
RY,11/23/2018,95.06
RY,11/26/2018,94.88
RY,11/27/2018,95.49
RY,11/28/2018,98.1
RY,11/29/2018,97.82
RY,11/30/2018,97.42
RY,12/3/2018,97.45
RY,12/4/2018,96.71
RY,12/5/2018,97.6
RY,12/6/2018,95.72
RY,12/7/2018,94.56
RY,12/10/2018,94.09
RY,12/11/2018,93.36
RY,12/12/2018,94.42
RY,12/13/2018,94.21
RY,12/14/2018,94.32
RY,12/17/2018,93.5
RY,12/18/2018,93.8
RY,12/19/2018,92.68
RY,12/20/2018,92.21
RY,12/21/2018,90.95
RY,12/24/2018,90.21
RY,12/27/2018,92.71
RY,12/28/2018,93.1
RY,12/31/2018,93.44
RY,1/2/2019,93.62
RY,1/3/2019,92.57
RY,1/4/2019,94.14
RY,1/7/2019,93.91
RY,1/8/2019,93.74
RY,1/9/2019,95.74
RY,1/10/2019,96.62
RY,1/11/2019,96.6
RY,1/14/2019,96.89
RY,1/15/2019,97.27
RY,1/16/2019,97.84
RY,1/17/2019,98.42
RY,1/18/2019,98.64
RY,1/21/2019,99.74
RY,1/22/2019,100
RY,1/23/2019,98.65
RY,1/24/2019,98.99
RY,1/25/2019,99.06
RY,1/28/2019,99.39
RY,1/29/2019,99.71
RY,1/30/2019,100.03
RY,1/31/2019,100.02
RY,2/1/2019,100.11
RY,2/4/2019,100.54
RY,2/5/2019,101.2
RY,2/6/2019,101.39
RY,2/7/2019,101.4
RY,2/8/2019,100.91
RY,2/11/2019,100.45
RY,2/12/2019,100.75
RY,2/13/2019,100.84
RY,2/14/2019,100.67
RY,2/15/2019,101.41
RY,2/19/2019,101.79
RY,2/20/2019,102.78
RY,2/21/2019,102.27
RY,2/22/2019,101.74
RY,2/25/2019,102.42
RY,2/26/2019,102.64
RY,2/27/2019,103.3
RY,2/28/2019,102.85
RY,3/1/2019,103.46
RY,3/4/2019,103.42
RY,3/5/2019,103.74
RY,3/6/2019,103.68
RY,3/7/2019,103.23
RY,3/8/2019,102.87
RY,3/11/2019,102.98
RY,3/12/2019,102.65
RY,3/13/2019,102.76
RY,3/14/2019,102.64
RY,3/15/2019,103.54
RY,3/18/2019,104.17
RY,3/19/2019,103.6
RY,3/20/2019,102.91
RY,3/21/2019,102.48
RY,3/22/2019,102.13
RY,3/25/2019,102.03
RY,3/26/2019,102.74
RY,3/27/2019,102.07
RY,3/28/2019,101.78
RY,3/29/2019,100.82
RY,4/1/2019,102.5
RY,4/2/2019,103.02
RY,4/3/2019,103.39
RY,4/4/2019,103.44
RY,4/5/2019,103.6
RY,4/8/2019,103.44
RY,4/9/2019,103.16
RY,4/10/2019,103.5
RY,4/11/2019,103.78
RY,4/12/2019,104.69
RY,4/15/2019,105.05
RY,4/16/2019,105.68
RY,4/17/2019,106.44
RY,4/18/2019,107.06
RY,4/22/2019,107.04
RY,4/23/2019,107.85
RY,4/24/2019,105.46
RY,4/25/2019,105.38
RY,4/26/2019,105.91
RY,4/29/2019,106.58
RY,4/30/2019,106.77
RY,5/1/2019,106.45
RY,5/2/2019,106.39
RY,5/3/2019,106.89
RY,5/6/2019,107.06
RY,5/7/2019,106.32
RY,5/8/2019,105.93
RY,5/9/2019,105.98
RY,5/10/2019,105.42
RY,5/13/2019,104.39
RY,5/14/2019,104.7
RY,5/15/2019,104.71
RY,5/16/2019,105.41
RY,5/17/2019,105.12
RY,5/21/2019,105.2
RY,5/22/2019,105.18
RY,5/23/2019,102.64
RY,5/24/2019,103.89
RY,5/27/2019,104.74
RY,5/28/2019,104.05
RY,5/29/2019,102.66
RY,5/30/2019,102.59
RY,5/31/2019,101.58
RY,6/3/2019,101.78
RY,6/4/2019,103.07
RY,6/5/2019,103.5
RY,6/6/2019,103.21
RY,6/7/2019,103.22
RY,6/10/2019,103.34
RY,6/11/2019,103.28
RY,6/12/2019,102.36
RY,6/13/2019,103.03
RY,6/14/2019,103.55
RY,6/17/2019,103.67
RY,6/18/2019,105.36
RY,6/19/2019,105.19
RY,6/20/2019,105.43
RY,6/21/2019,105
RY,6/24/2019,104.99
RY,6/25/2019,104.15
RY,6/26/2019,103.74
RY,6/27/2019,103.46
RY,6/28/2019,104.07
RY,7/2/2019,104.83
RY,7/3/2019,105.61
RY,7/4/2019,105.42
RY,7/5/2019,105.69
RY,7/8/2019,105.16
RY,7/9/2019,105.52
RY,7/10/2019,105.17
RY,7/11/2019,104.85
RY,7/12/2019,104.33
RY,7/15/2019,104.25
RY,7/16/2019,104.42
RY,7/17/2019,104.33
RY,7/18/2019,104.5
RY,7/19/2019,104.91
RY,7/22/2019,104.72
RY,7/23/2019,105.5
RY,7/24/2019,105.04
RY,7/25/2019,104.5
RY,7/26/2019,104.77
RY,7/29/2019,104.77
RY,7/30/2019,104.15
RY,7/31/2019,104.22
RY,8/1/2019,102.83
RY,8/2/2019,102.2
RY,8/6/2019,101.01
RY,8/7/2019,101.32
RY,8/8/2019,101.82
RY,8/9/2019,101.08
RY,8/12/2019,99.98
RY,8/13/2019,100.71
RY,8/14/2019,98.83
RY,8/15/2019,98.75
RY,8/16/2019,99.74
RY,8/19/2019,100.46
RY,8/20/2019,99.34
RY,8/21/2019,99.91
RY,8/22/2019,99.35
RY,8/23/2019,97.6
RY,8/26/2019,97.88
RY,8/27/2019,97.92
RY,8/28/2019,98.3
RY,8/29/2019,99.42
RY,8/30/2019,99.58
RY,9/3/2019,99.43
RY,9/4/2019,99.38
RY,9/5/2019,100.69
RY,9/6/2019,100.94
RY,9/9/2019,101.24
RY,9/10/2019,102.32
RY,9/11/2019,103.23
RY,9/12/2019,104.18
RY,9/13/2019,105.25
RY,9/16/2019,105.39
RY,9/17/2019,105.89
RY,9/18/2019,106.29
RY,9/19/2019,106.89
RY,9/20/2019,107.96
RY,9/23/2019,107.36
RY,9/24/2019,106.83
RY,9/25/2019,107.37
RY,9/26/2019,107.46
RY,9/27/2019,107.45
RY,9/30/2019,107.47
RY,10/1/2019,106.73
RY,10/2/2019,105.31
RY,10/3/2019,105.18
RY,10/4/2019,105.85
RY,10/7/2019,105.59
RY,10/8/2019,104.48
RY,10/9/2019,105.49
RY,10/10/2019,105.76
RY,10/11/2019,106.33
RY,10/15/2019,107.02
RY,10/16/2019,107.16
RY,10/17/2019,106.63
RY,10/18/2019,106.95
RY,10/21/2019,107.7
RY,10/22/2019,107.27
RY,10/23/2019,106.27
RY,10/24/2019,105.81
RY,10/25/2019,106.02
RY,10/28/2019,105.92
RY,10/29/2019,106.04
RY,10/30/2019,106.5
RY,10/31/2019,106.24
RY,11/1/2019,106.65
RY,11/4/2019,107.38
RY,11/5/2019,107.9
RY,11/6/2019,108.1
RY,11/7/2019,108.46
RY,11/8/2019,108.44
RY,11/11/2019,108.2
RY,11/12/2019,108.28
RY,11/13/2019,108.2
RY,11/14/2019,108.27
RY,11/15/2019,108.81
RY,11/18/2019,108.8
RY,11/19/2019,108.86
RY,11/20/2019,108.84
RY,11/21/2019,109.16
RY,11/22/2019,109.25
RY,11/25/2019,109.36
RY,11/26/2019,108.62
RY,11/27/2019,108.8
RY,11/28/2019,108.67
RY,11/29/2019,108.73
RY,12/2/2019,108.06
RY,12/3/2019,107.18
RY,12/4/2019,104.95
RY,12/5/2019,104.76
RY,12/6/2019,104.99
RY,12/9/2019,104.45
RY,12/10/2019,103.97
RY,12/11/2019,103.73
RY,12/12/2019,103.75
RY,12/13/2019,104.84
RY,12/16/2019,104.8
RY,12/17/2019,104.75
RY,12/18/2019,103.89
RY,12/19/2019,103.83
RY,12/20/2019,104.41
RY,12/23/2019,103.52
RY,12/24/2019,103.43
RY,12/27/2019,103.47
